Company_Name,CEO_Name,Industry,Company_Sector,Country,City,Founded_Year,Employee_Count,Male_Employees,Female_Employees,Last_Year_Hirings,Hiring_Rate (%),Average_Salary_LPA,Annual_Revenue_INR_Crores,Company_Shares_INR
Horizon Healthcare Ltd.,Bradley Munoz,Retail,MNC,Singapore,Singapore,2006,7663,5025,2638,549,7.16,9.21,194192.39,82379.4
Horizon Group Ltd.,Marc Reynolds,Logistics,Startup,Thailand,Bangkok,1958,139461,68322,71139,27732,19.89,23.6,317465.65,411416.26
Prime Healthcare Ltd.,Sarah Hawkins,Energy,MNC,Vietnam,Ho Chi Minh City,1981,18297,9976,8321,3453,18.87,7.97,680895.8,226762.22
Prime Technologies Ltd.,Johnathan Wilcox,Retail,Private,Singapore,Singapore,2009,881,593,288,172,19.52,16.15,300240.1,378047.4
Vertex Retail Ltd.,Marissa Baird,Healthcare,Public,Thailand,Bangkok,2015,9400,5536,3864,1194,12.7,26.62,636190.93,26975.62
Pacific Foods Ltd.,Robyn Brown,Logistics,Private,UAE,Dubai,1998,30518,19688,10830,350,1.15,34.75,62775.01,58696.72
Pioneer Healthcare Ltd.,Rebecca Reid,Healthcare,Public,China,Beijing,1961,84083,48525,35558,6894,8.2,32.58,368435.78,9571.8
Horizon Foods Ltd.,Bradley Stafford,Manufacturing,MNC,Thailand,Bangkok,2001,139141,79154,59987,21327,15.33,35.69,679921.76,303199.88
Horizon Logistics Ltd.,Steven Beck,Banking,Public,UAE,Dubai,1961,127659,58640,69019,23284,18.24,9.5,232687.79,63607.32
Nova Industries Ltd.,Emily Miller,Logistics,Public,UAE,Dubai,1963,168709,113823,54886,11600,6.88,19.91,239711.93,44860.18
Vertex Logistics Ltd.,Jessica Perez,Manufacturing,Private,South Korea,Seoul,1967,4045,1905,2140,399,9.86,31.68,264428.41,423259.32
Prime Foods Ltd.,Crystal Taylor,IT Services,Private,China,Beijing,1971,98237,65560,32677,11198,11.4,25.31,376802.03,302930.7
Prime Technologies Ltd.,Sydney Miller,Energy,Startup,Thailand,Bangkok,2006,5840,3640,2200,332,5.68,37.87,331918.12,419159.7
Pioneer Technologies Ltd.,Anna Frost,Retail,Public,UAE,Dubai,2006,106799,60461,46338,6488,6.07,15.55,427434.36,19892.66
Summit Retail Ltd.,Wendy Mcdaniel,Logistics,Startup,China,Beijing,1954,105809,52241,53568,19748,18.66,19.8,173124.54,34216.82
Nova Healthcare Ltd.,Cassandra Bernard,Banking,Startup,UAE,Dubai,2019,108354,60557,47797,7709,7.11,12.11,192716.37,154513.62
Prime Energy Ltd.,Alexander Stone,Manufacturing,Private,Malaysia,Kuala Lumpur,1976,136807,68429,68378,7180,5.25,17.37,674673.27,420003.36
Apex Retail Ltd.,Joshua Davis,IT Services,Private,Taiwan,Taipei,1972,43864,25267,18597,2307,5.26,33.13,99396.22,121873.18
Vertex Energy Ltd.,Patrick Castro,Retail,Startup,Indonesia,Jakarta,2005,18165,11371,6794,1333,7.34,22.78,333931.38,306411.12
Horizon Healthcare Ltd.,Charles Stanley,Energy,Private,Thailand,Bangkok,1978,103300,49904,53396,13743,13.3,20.16,187177.8,340299.42
Pacific Solutions Ltd.,Carlos Mccoy,Retail,Public,Taiwan,Taipei,2021,103646,49678,53968,13725,13.24,22.02,492492.07,19437.72
Evergreen Foods Ltd.,Dr. Ashley Rhodes DDS,IT Services,Startup,Thailand,Bangkok,1977,183419,89631,93788,7053,3.85,12.14,607649.68,190907.96
Pacific Industries Ltd.,Charles Miller,Energy,Startup,Thailand,Bangkok,1998,186274,121653,64621,8831,4.74,13.1,650553.11,12988.58
Pioneer Solutions Ltd.,Brian Higgins,Energy,Startup,Thailand,Bangkok,1999,72900,50924,21976,6759,9.27,30.13,657508.27,5430.9
Evergreen Logistics Ltd.,Christine Chen,Manufacturing,Government,China,Beijing,2016,97027,58834,38193,4583,4.72,14.22,312134.25,66280.2
BlueSky Industries Ltd.,Joshua Beasley,IT Services,MNC,Taiwan,Taipei,1968,98211,54489,43722,10482,10.67,30.37,3048.7,322295.32
Summit Holdings Ltd.,Jacob Ali,IT Services,Public,Thailand,Bangkok,1981,110067,60501,49566,4465,4.06,4.01,103028.86,61301.66
BlueSky Healthcare Ltd.,Katherine White,IT Services,Private,China,Beijing,2001,198683,100012,98671,9058,4.56,24.43,530080.69,255953.2
Pacific Healthcare Ltd.,William Smith,Retail,Private,Singapore,Singapore,1956,117502,75651,41851,7214,6.14,28.8,531199.55,384588.56
BlueSky Healthcare Ltd.,Michael Watson,Telecom,Public,Singapore,Singapore,1971,160063,106135,53928,1521,0.95,37.9,372656.83,36326.4
Apex Holdings Ltd.,Robert Hill,Telecom,Private,Taiwan,Taipei,2011,191473,106620,84853,15417,8.05,7.71,23852.62,194659.28
Prime Energy Ltd.,Austin Guerrero,Logistics,Startup,Indonesia,Jakarta,2007,170614,112396,58218,4864,2.85,29.38,322525.97,226696.0
BlueSky Group Ltd.,Jamie Summers,Logistics,Public,Singapore,Singapore,2013,47411,31732,15679,8445,17.81,24.87,337511.3,47941.56
Evergreen Group Ltd.,Danielle Burton,Telecom,Private,Singapore,Singapore,1962,53646,32752,20894,1677,3.13,33.17,659810.15,409217.24
BlueSky Manufacturing Ltd.,Sheila Dunlap,Banking,Public,China,Beijing,2013,154727,79725,75002,21677,14.01,37.47,165225.52,44363.96
Apex Solutions Ltd.,Ricardo Jacobs,Healthcare,Private,China,Beijing,1972,61029,32680,28349,4837,7.93,8.07,320073.94,346358.12
Apex Retail Ltd.,David Roberts,Telecom,MNC,Vietnam,Ho Chi Minh City,1961,133272,69660,63612,12109,9.09,22.6,330306.91,257579.46
Nova Healthcare Ltd.,Melissa Stone,Banking,Public,Singapore,Singapore,2007,48522,22991,25531,2662,5.49,32.72,325223.79,620.06
BlueSky Logistics Ltd.,Cassandra Ballard,Manufacturing,Private,Vietnam,Ho Chi Minh City,1984,40918,22018,18900,2404,5.88,13.97,360220.8,337580.96
Nova Industries Ltd.,Brittany Wood,IT Services,Private,Japan,Tokyo,1995,146338,88089,58249,20659,14.12,38.07,183157.12,215098.04
Prime Healthcare Ltd.,April Olson,IT Services,Startup,Indonesia,Jakarta,1974,159964,74540,85424,16999,10.63,11.94,355786.04,289358.18
Vertex Retail Ltd.,Tracy Hernandez,Energy,Government,Malaysia,Kuala Lumpur,1977,58470,30884,27586,11543,19.74,28.98,24522.3,291816.92
Vertex Manufacturing Ltd.,Kathryn Blake,IT Services,Government,Indonesia,Jakarta,2016,146657,98673,47984,12110,8.26,12.93,311813.21,216299.46
Vertex Group Ltd.,Cassandra Solomon,Logistics,Private,Thailand,Bangkok,1977,84844,55241,29603,8662,10.21,10.83,304512.07,341494.82
Summit Technologies Ltd.,Jessica Reyes,Retail,Government,South Korea,Seoul,2002,135843,71446,64397,4715,3.47,7.86,585441.73,222212.82
Horizon Technologies Ltd.,Kyle Cook,Retail,Startup,China,Beijing,1988,198584,131168,67416,15783,7.95,26.93,470691.67,253089.4
Pacific Holdings Ltd.,Charles Bowen,Logistics,MNC,Singapore,Singapore,1961,114401,61303,53098,22543,19.71,5.47,88330.69,415521.04
Vertex Logistics Ltd.,Michelle Patton,Healthcare,Startup,China,Beijing,2008,34435,16963,17472,3617,10.5,26.71,203197.1,34463.64
BlueSky Holdings Ltd.,Sarah Martinez,Telecom,Government,Vietnam,Ho Chi Minh City,2017,144391,74148,70243,7659,5.3,31.9,394606.7,110616.64
Apex Solutions Ltd.,Elizabeth Stafford,IT Services,Startup,Japan,Tokyo,1958,119060,71688,47372,14213,11.94,32.03,218331.9,185889.86
Summit Holdings Ltd.,Jason Ho MD,Banking,Government,Singapore,Singapore,1977,130717,84072,46645,8676,6.64,20.88,469933.76,231231.64
Prime Logistics Ltd.,Jose Richardson,Banking,Public,UAE,Dubai,1998,91314,54907,36407,15133,16.57,18.79,215408.84,58052.58
Pioneer Energy Ltd.,Samuel Wallace,Logistics,Startup,Vietnam,Ho Chi Minh City,1988,33470,15497,17973,6622,19.78,7.58,78280.81,63036.28
Horizon Solutions Ltd.,Michael Griffin,Energy,Startup,South Korea,Seoul,1959,114989,53667,61322,8218,7.15,25.94,647842.3,413744.28
Prime Solutions Ltd.,Paul Miller,Healthcare,MNC,South Korea,Seoul,1953,154361,87290,67071,11264,7.3,34.64,157816.62,33407.56
BlueSky Foods Ltd.,Mark Nelson,Banking,Government,Vietnam,Ho Chi Minh City,2004,85295,53395,31900,12044,14.12,16.9,60355.66,96843.74
Horizon Foods Ltd.,Jeremy Rodriguez,Retail,Public,South Korea,Seoul,2021,86236,54052,32184,7873,9.13,39.14,72581.42,37875.26
Horizon Technologies Ltd.,Jacob Flores,Logistics,Public,Singapore,Singapore,2007,33016,16273,16743,3051,9.24,13.6,352123.3,27948.28
Pioneer Retail Ltd.,Corey Myers,Telecom,Government,Japan,Tokyo,1999,110353,71390,38963,14087,12.77,11.9,384176.62,232568.08
Horizon Logistics Ltd.,Jennifer Grant,Telecom,Public,Malaysia,Kuala Lumpur,1978,193377,103127,90250,15167,7.84,36.45,485044.64,27120.96
Pioneer Technologies Ltd.,Sarah King,Healthcare,MNC,Thailand,Bangkok,2002,163161,100641,62520,27314,16.74,12.57,520776.27,112801.9
Prime Solutions Ltd.,Pamela Stark,Retail,Startup,China,Beijing,1950,66651,41588,25063,2658,3.99,22.99,633941.52,428533.7
Vertex Energy Ltd.,Jennifer Mathis,Telecom,Private,Singapore,Singapore,2012,154517,101549,52968,10577,6.85,24.04,327638.67,317783.76
BlueSky Logistics Ltd.,Christopher Thomas,Manufacturing,MNC,Japan,Tokyo,1970,131465,71240,60225,19281,14.67,16.26,637594.54,46719.5
Horizon Retail Ltd.,Glenn Wagner,Manufacturing,Private,Malaysia,Kuala Lumpur,1960,7198,4996,2202,532,7.39,26.32,556530.34,313181.04
Pacific Holdings Ltd.,Karen Cole,Banking,Private,Japan,Tokyo,1968,144679,86385,58294,5995,4.14,34.95,535748.78,136110.48
Evergreen Manufacturing Ltd.,William Taylor,Manufacturing,MNC,Thailand,Bangkok,1980,41388,28096,13292,211,0.51,19.67,6153.64,218846.78
Summit Industries Ltd.,Russell Walton,Manufacturing,MNC,UAE,Dubai,2011,32307,14833,17474,261,0.81,32.55,260467.43,175740.14
Nova Retail Ltd.,Deborah Jones,Energy,Startup,Indonesia,Jakarta,1995,102323,71387,30936,13806,13.49,5.58,24826.39,359649.42
Pacific Retail Ltd.,Terry Johnson,Logistics,MNC,South Korea,Seoul,2020,49673,30349,19324,9878,19.89,35.53,684764.59,109295.68
BlueSky Holdings Ltd.,Scott Howard,Telecom,Private,South Korea,Seoul,2004,48112,32256,15856,2440,5.07,18.78,521961.69,414256.84
Pacific Group Ltd.,Kevin Carpenter,Energy,MNC,Vietnam,Ho Chi Minh City,1960,60540,38600,21940,8431,13.93,21.12,111543.29,218425.38
Summit Group Ltd.,Peter Smith,Banking,Public,Taiwan,Taipei,1996,164670,94110,70560,19482,11.83,21.84,259283.55,30447.44
Pioneer Energy Ltd.,Jennifer Williams,Retail,Public,China,Beijing,1987,178467,88832,89635,34539,19.35,7.81,373017.35,21291.02
BlueSky Solutions Ltd.,Andrew Smith,Healthcare,Private,Japan,Tokyo,1991,155476,101672,53804,13716,8.82,16.72,554906.31,356951.6
BlueSky Energy Ltd.,Michael Smith,Healthcare,Government,China,Beijing,1992,63010,43030,19980,1443,2.29,39.72,446916.97,39428.42
Vertex Solutions Ltd.,Austin Flores,Manufacturing,Public,Thailand,Bangkok,2014,29612,13507,16105,5654,19.09,32.29,564373.62,64384.76
Horizon Retail Ltd.,Susan Choi,Manufacturing,Public,Indonesia,Jakarta,1975,136558,91526,45032,11002,8.06,11.54,612078.08,27279.2
Prime Technologies Ltd.,Amber Clarke,Telecom,Private,Malaysia,Kuala Lumpur,2003,133818,91994,41824,131,0.1,16.0,27482.76,288905.82
Horizon Energy Ltd.,Paul Stewart,Banking,Startup,Indonesia,Jakarta,1988,88011,59086,28925,11781,13.39,17.06,467273.86,68091.36
Summit Retail Ltd.,Alicia Taylor,Banking,Startup,UAE,Dubai,1971,66140,34281,31859,5252,7.94,33.97,82635.94,145185.2
Summit Foods Ltd.,Michelle Hayes,Manufacturing,Startup,Singapore,Singapore,2002,14647,7180,7467,683,4.66,20.63,599032.83,251296.3
Summit Energy Ltd.,Vanessa Aguilar,IT Services,Public,Taiwan,Taipei,1961,107542,69984,37558,7887,7.33,31.43,632271.23,22416.76
Pioneer Logistics Ltd.,Marcus Anderson,Healthcare,Government,Vietnam,Ho Chi Minh City,1971,30931,14339,16592,1145,3.7,8.63,574730.09,304912.14
Summit Foods Ltd.,Andrew Taylor,Energy,Private,Malaysia,Kuala Lumpur,2022,118694,78799,39895,5475,4.61,25.35,532187.35,223203.54
Pioneer Healthcare Ltd.,David Lynn,Banking,Government,UAE,Dubai,1985,103474,51734,51740,5788,5.59,18.37,99579.49,282826.48
Pacific Manufacturing Ltd.,Andrew Aguilar,Telecom,Private,Indonesia,Jakarta,2015,16361,8999,7362,2912,17.8,8.76,377675.71,99998.22
Pioneer Industries Ltd.,Kelly Jones,Banking,Public,Thailand,Bangkok,2009,164151,92168,71983,13997,8.53,34.17,394350.85,21770.04
Apex Solutions Ltd.,Nicole Clark,Logistics,Government,Singapore,Singapore,1973,1571,918,653,19,1.21,38.19,386257.99,334904.64
Prime Healthcare Ltd.,Patricia Calderon,Manufacturing,Government,Taiwan,Taipei,1971,18226,10984,7242,3335,18.3,37.39,499158.79,377024.86
Summit Holdings Ltd.,Robert Swanson,Healthcare,MNC,Vietnam,Ho Chi Minh City,1950,89293,41208,48085,17511,19.61,24.6,113363.74,192778.46
Summit Holdings Ltd.,Jesse Adkins,Retail,Government,Taiwan,Taipei,2005,167314,92484,74830,18995,11.35,39.44,375372.28,98634.26
BlueSky Retail Ltd.,Jason Chapman,Banking,Private,South Korea,Seoul,1950,50425,28259,22166,3020,5.99,24.43,333718.53,410359.32
Prime Energy Ltd.,Chad Andrews,Manufacturing,MNC,Taiwan,Taipei,2018,113403,69169,44234,9893,8.72,17.83,501102.48,195356.74
Prime Foods Ltd.,Joseph Carroll,IT Services,Startup,Taiwan,Taipei,1950,19375,12322,7053,3612,18.64,37.11,175072.09,6228.98
Prime Industries Ltd.,Clayton Patterson,Banking,Government,UAE,Dubai,1986,87682,61242,26440,11958,13.64,15.53,561802.57,366122.64
Pacific Holdings Ltd.,Marcus West,Energy,Public,Vietnam,Ho Chi Minh City,1971,134755,64209,70546,10428,7.74,23.58,676651.27,50982.52
Horizon Industries Ltd.,Rachel Jackson,Manufacturing,Government,Singapore,Singapore,1973,56151,33120,23031,1712,3.05,9.58,465476.55,133385.14
Pacific Solutions Ltd.,Tommy Cardenas,Healthcare,Private,Japan,Tokyo,1986,283,134,149,37,13.07,20.95,156870.71,148895.24
BlueSky Energy Ltd.,Terry Carr,Retail,Public,Taiwan,Taipei,1989,135395,74887,60508,9421,6.96,23.73,45334.04,34408.6
Nova Healthcare Ltd.,Margaret Joyce,Logistics,Public,UAE,Dubai,1996,165233,108614,56619,10674,6.46,34.31,610738.03,19150.48
BlueSky Retail Ltd.,Dale Dunn,Healthcare,Private,UAE,Dubai,1993,78586,47358,31228,6590,8.39,28.6,681297.85,385100.26
Horizon Healthcare Ltd.,Kevin Weber,Energy,Government,Singapore,Singapore,2016,184616,128786,55830,13508,7.32,15.84,94034.72,173686.46
Pioneer Group Ltd.,Shannon Ford,Logistics,MNC,South Korea,Seoul,2015,153771,101225,52546,21249,13.82,6.57,630344.74,398397.58
Nova Healthcare Ltd.,Jacqueline Harris,Manufacturing,MNC,Vietnam,Ho Chi Minh City,2018,90408,48294,42114,6830,7.55,37.51,431180.61,270300.58
Evergreen Technologies Ltd.,Kelly Ramirez,Energy,MNC,Japan,Tokyo,1966,65075,42615,22460,6710,10.31,24.66,636396.04,427064.82
Vertex Group Ltd.,Lisa Mcdonald,Energy,Startup,Thailand,Bangkok,1989,22575,14823,7752,1825,8.08,33.31,574061.35,350185.12
Horizon Holdings Ltd.,James Ortega,Manufacturing,MNC,Indonesia,Jakarta,1981,134074,86150,47924,15794,11.78,32.01,158726.5,115397.38
Pacific Technologies Ltd.,Samantha Vazquez,Healthcare,Startup,Vietnam,Ho Chi Minh City,1989,24768,12159,12609,2288,9.24,21.87,17080.2,191801.5
Summit Foods Ltd.,Jordan Mcguire,Logistics,Government,Indonesia,Jakarta,1976,141494,72725,68769,23663,16.72,33.68,90834.23,273710.48
Pioneer Holdings Ltd.,Benjamin Pearson,IT Services,Private,Malaysia,Kuala Lumpur,2019,121807,78615,43192,18898,15.51,27.29,269216.38,26213.66
Nova Holdings Ltd.,Michael Ortega,Telecom,Private,Japan,Tokyo,1956,7287,4809,2478,1346,18.47,6.2,671263.88,13528.66
Vertex Industries Ltd.,Evelyn Williams,Manufacturing,Private,Indonesia,Jakarta,1986,116017,80073,35944,22261,19.19,28.27,654015.04,107366.7
Apex Retail Ltd.,Kevin Woodard,IT Services,MNC,Vietnam,Ho Chi Minh City,1988,72600,40114,32486,5291,7.29,23.59,418877.36,54407.9
Apex Industries Ltd.,Bradley Miller,Healthcare,Government,Taiwan,Taipei,2006,153644,107135,46509,10518,6.85,4.54,96192.89,107415.72
Vertex Foods Ltd.,Crystal Peck,IT Services,Private,Indonesia,Jakarta,2013,82354,40355,41999,14216,17.26,8.12,491061.2,288585.04
Evergreen Industries Ltd.,Cindy Mcdaniel,IT Services,Government,Taiwan,Taipei,1969,65723,41778,23945,295,0.45,17.84,46655.43,374908.4
Evergreen Foods Ltd.,Timothy Mcdonald,Telecom,Public,Taiwan,Taipei,1950,17515,9012,8503,3501,19.99,22.55,586925.06,65611.12
BlueSky Manufacturing Ltd.,Leonard Campbell,Retail,Public,Thailand,Bangkok,1989,6137,3572,2565,424,6.91,33.12,518948.25,22684.22
Pioneer Group Ltd.,Patty West,Manufacturing,Government,Taiwan,Taipei,1988,199241,125713,73528,22839,11.46,36.59,336888.23,362621.58
Prime Foods Ltd.,Donald Bruce,Energy,MNC,Vietnam,Ho Chi Minh City,1989,58688,34926,23762,9682,16.5,4.7,506879.36,116522.26
Horizon Group Ltd.,Heather Gray,Healthcare,Private,Thailand,Bangkok,1979,119576,58992,60584,13887,11.61,22.16,91253.74,404460.58
Apex Industries Ltd.,Holly Sellers,Retail,Government,Malaysia,Kuala Lumpur,2021,40846,27434,13412,2690,6.59,36.52,611958.89,403291.84
Summit Holdings Ltd.,Curtis Haas,Retail,Public,Thailand,Bangkok,1988,109341,59448,49893,10757,9.84,32.42,215714.23,1969.4
Summit Group Ltd.,Derek Wolfe,Banking,Public,Thailand,Bangkok,1963,65610,31302,34308,5884,8.97,34.31,73296.34,46928.48
Apex Foods Ltd.,Jennifer Russell,IT Services,Public,Malaysia,Kuala Lumpur,2005,122856,83877,38979,1198,0.98,17.58,448518.38,56274.96
Apex Technologies Ltd.,Crystal Benson,Healthcare,Government,Vietnam,Ho Chi Minh City,2010,93922,50922,43000,4467,4.76,39.52,74178.61,373100.68
Vertex Industries Ltd.,Jesse Morrison,Telecom,Startup,Taiwan,Taipei,1973,19025,8712,10313,2154,11.32,32.85,346990.22,104202.76
Pioneer Retail Ltd.,Shirley Clark,Telecom,Private,Malaysia,Kuala Lumpur,2014,76087,38524,37563,12044,15.83,4.33,347559.2,406262.28
Prime Healthcare Ltd.,Jennifer Bush,Manufacturing,MNC,Malaysia,Kuala Lumpur,1964,182166,89477,92689,30652,16.83,8.47,372374.15,197452.56
Pacific Healthcare Ltd.,Joshua Lambert,Energy,Startup,China,Beijing,1964,176434,115480,60954,32122,18.21,25.15,680926.5,303400.26
Pacific Group Ltd.,Melissa Cobb,Manufacturing,Government,Japan,Tokyo,1994,160325,90632,69693,17068,10.65,37.53,311486.67,242580.2
Horizon Manufacturing Ltd.,Kevin Norman,IT Services,Government,Vietnam,Ho Chi Minh City,2000,55821,38029,17792,9009,16.14,3.48,87767.64,9803.14
Horizon Foods Ltd.,Kylie Davis,IT Services,Startup,Malaysia,Kuala Lumpur,1988,45958,21125,24833,4243,9.23,20.35,634858.28,169349.48
Pacific Healthcare Ltd.,Christopher Smith,Retail,Public,Vietnam,Ho Chi Minh City,2015,62175,43179,18996,7146,11.49,11.91,614093.06,64954.94
Apex Holdings Ltd.,Jonathon Schneider,Banking,Public,South Korea,Seoul,1983,88441,58447,29994,1956,2.21,10.08,270875.23,13210.46
Evergreen Healthcare Ltd.,Jennifer Wiggins,Telecom,Government,Singapore,Singapore,2016,81695,47161,34534,8326,10.19,14.7,408481.08,372928.68
Pacific Retail Ltd.,Martha Davis,Logistics,MNC,UAE,Dubai,2002,71138,48674,22464,1402,1.97,14.22,663228.47,164315.9
Evergreen Manufacturing Ltd.,Sara Coffey,Healthcare,Government,Malaysia,Kuala Lumpur,1953,141150,71643,69507,15022,10.64,35.14,632244.91,415757.54
Apex Group Ltd.,Chad Carter,Logistics,Government,China,Beijing,1990,178423,98213,80210,35002,19.62,21.96,240493.32,245960.86
Summit Foods Ltd.,James Waters,Banking,Government,UAE,Dubai,2019,61194,36198,24996,594,0.97,22.52,415130.08,412550.6
Pioneer Industries Ltd.,Joseph Holmes,Banking,Private,Indonesia,Jakarta,1984,63988,37904,26084,5228,8.17,24.29,475595.57,44973.7
Nova Solutions Ltd.,Luis Morris,Telecom,Public,Vietnam,Ho Chi Minh City,1950,101526,65987,35539,19709,19.41,9.82,232118.9,29885.0
Prime Energy Ltd.,Mary Tanner,IT Services,Public,Singapore,Singapore,2006,86762,46722,40040,10236,11.8,27.44,136917.85,5282.12
Vertex Solutions Ltd.,Lauren Young,Energy,Startup,South Korea,Seoul,2002,174722,113313,61409,7642,4.37,6.79,146937.11,355312.44
Prime Foods Ltd.,Stephanie Blake,Telecom,Public,UAE,Dubai,1962,60137,30729,29408,7880,13.1,32.16,433941.98,54557.54
Pacific Group Ltd.,Annette Clarke,Manufacturing,Startup,Thailand,Bangkok,1987,155849,107831,48018,18759,12.04,12.5,367606.4,69238.6
Vertex Healthcare Ltd.,Molly Mcintyre,Telecom,Government,Malaysia,Kuala Lumpur,2003,33316,18652,14664,5309,15.94,38.03,470659.77,196807.56
Horizon Manufacturing Ltd.,Matthew Shaw,Healthcare,Public,China,Beijing,1995,60934,36995,23939,11883,19.5,5.68,671923.59,55690.16
